player_id,player_name,salary
551,Isaiah Whitehead,726390
491,Ish Smith,6000000
448,Ivan Rabb,1378242
575,Ivica Zubac,1544951
55,Jabari Bird,1349383
423,Jabari Parker,20000000
170,Jacob Evans,1646400
130,Jae Crowder,7305825
414,Jahlil Okafor,1567007
471,JaKarr Sampson,85457
318,Jake Layman,1544951
436,Jakob Poltl,2947320
85,Jalen Brunson,1230000
296,Jalen Jones,77250
127,Jamal Crawford,4698113
392,Jamal Murray,3499800
167,James Ennis,1621415
224,James Harden,30570000
284,James Johnson,14420700
408,James Nunnally,663255
216,JaMychal Green,8066667
158,Jared Dudley,9530000
511,Jared Terrell,77250
351,Jarell Martin,2416221
274,Jaren Jackson,5922720
503,Jarnell Stokes,77250
60,Jaron Blossomgame,77250
532,Jarred Vanderbilt,838464
13,Jarrett Allen,2034120
492,Jason Smith,5450000
519,Jason Thompson,893333
361,JaVale McGee,2393887
171,Jawun Evans,1455492
4,Jaylen Adams,236854
80,Jaylen Brown,5169960
387,Jaylen Morris,77250
506,Jayson Tatum,6700800
217,Jeff Green,2393887
507,Jeff Teague,19000000
297,Jemerrio Jones,52170
211,Jerami Grant,8333333
316,Jeremy Lamb,7000000
329,Jeremy Lin,12516746
212,Jerian Grant,2639313
460,Jerome Robinson,3050160
40,Jerryd Bayless,8575916
100,Jevon Carter,838464
187,Jimmer Fredette,198579
91,Jimmy Butler,19841627
452,JJ Redick,12250000
403,Joakim Noah,20261172
366,Jodie Meeks,3774176
109,Joe Chealey,77250
229,Joe Harris,8333333
266,Joe Ingles,12545455
166,Joel Embiid,25467250
116,John Collins,2299080
238,John Henson,10577466
251,John Holland,77250
281,John Jenkins,585809
541,John Wall,19169800
389,Johnathan Motley,77250
559,Johnathan Williams,127250
326,Jon Leuer,10002681
65,Jonah Bolden,1690000
282,Jonas Jerebko,2165481
530,Jonas Valanciunas,16539326
199,Jonathan Gibson,76236
270,Jonathan Isaac,4969080
485,Jonathon Simmons,6000000
47,Jordan Bell,1378242
114,Jordan Clarkson,12500000
338,Jordan Loyd,77250
365,Jordan McRae,77250
483,Jordan Sibert,47370
93,Jose Calderon,2393887
300,Jose Juan,3710850
233,Josh Hart,1655160
273,Josh Jackson,6041520
416,Josh Okogie,2163600
455,Josh Richardson,9367200
493,Josh Smith,5331729
346,JP Macura,77250
490,JR Smith,14720000
248,Jrue Holiday,26641111
239,Juan Hernangomez,2166360
545,Julian Washburn,77250
449,Julius Randle,8641000
18,Justin Anderson,2516047
53,Justin Bibbs,92159
221,Justin Hamilton,1000000
249,Justin Holiday,4500000
275,Justin Jackson,2807880
427,Justin Patton,2667600
564,Justise Winslow,3448926
409,Jusuf Nurkic,11111111
14,Kadeem Allen,77250
339,Kalin Lucas,648008
522,Karl-Anthony Towns,7839435
324,Kawhi Leonard,23114066
172,Keenan Evans,77250
38,Keita Bates-Diop,838464
418,Kelly Olynyk,13537527
420,Kelly Oubre,3208630
539,Kemba Walker,12000000
407,Kendrick Nunn,47370
174,Kenneth Faried,14242782
558,Kenrich Williams,838464
42,Kent Bazemore,18089888
94,Kentavious Caldwell-Pope,12000000
160,Kevin Durant,30000000
259,Kevin Huerter,2250960
308,Kevin Knox,3744840
336,Kevin Love,24119025
333,Kevon Looney,1567007
54,Khem Birch,1378242
370,Khris Middleton,13000000
516,Khyri Thomas,838464
517,Klay Thompson,18988725
486,Kobi Simmons,76236
312,Kosta Koufos,8739500
21,Kostas Antetokounmpo,77250
159,Kris Dunn,4221000
441,Kristaps Porzingis,5697054
17,Kyle Anderson,8641000
311,Kyle Korver,7560000
314,Kyle Kuzma,1689840
337,Kyle Lowry,32700000
412,Kyle O'Quinn,4449000
488,Kyle Singler,1665333
269,Kyrie Irving,20099189
10,LaMarcus Aldridge,22347015
502,Lance Stephenson,4449000
514,Lance Thomas,7119650
480,Landry Shamet,1705920
